node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks,labels
Thread (computing),0.6,0.0073797087686,5,3,5,0.00943396226415,0.00332256720346,0
Computer science,0.828125,0.103645600122,32,3,5,0.0849056603774,0.0368643820021,1
Internet,0.698369565217,0.0758135156754,92,3,5,0.122641509434,0.0474249022383,1
Waggle dance,1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Representational state transfer,1.0,0.00769230769231,1,3,3,0.00943396226415,0.00313612331893,0
Instant messaging,0.628205128205,0.0219299662326,39,3,5,0.0471698113208,0.0241586550074,1
Loose coupling,0.888888888889,0.0193099081988,9,3,5,0.0188679245283,0.00435402384465,0
Queue (abstract data type),0.6,0.0073797087686,5,3,5,0.00943396226415,0.00332256720346,0
Presence information,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Application programming interface,0.871428571429,0.0603082103082,35,3,5,0.0566037735849,0.00856934948128,1
Line-of-sight propagation,1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Message-oriented middleware,0.833333333333,0.0809933379378,21,3,5,0.0566037735849,0.0066749360872,0
Embedded system,1.0,0.0255186480186,6,3,4,0.0283018867925,0.00469552448467,0
Personal area network,0.833333333333,0.0179487179487,3,3,4,0.0283018867925,0.00685565345955,0
Octet (computing),0.65625,0.0117437022042,8,3,5,0.0188679245283,0.00471980956118,0
Open standard,1.0,0.0191627816628,6,3,5,0.0377358490566,0.00716400266518,0
Remote procedure call,0.944444444444,0.036077656911,18,3,5,0.0188679245283,0.00684344424321,0
Application software,0.882352941176,0.107661977074,51,3,5,0.0471698113208,0.0373619802013,1
Modular programming,1.0,0.0384615384615,1,3,3,0.00943396226415,0.00417782805575,0
Free and open-source software,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Computer network,0.7,0.0970974659681,75,3,5,0.150943396226,0.0746963710088,1
Routing,0.78125,0.013031890624,24,3,5,0.0471698113208,0.010058930407,0
Newcastle University,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Bluetooth,1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Service-oriented architecture,0.708333333333,0.101673789174,6,2,5,0.0377358490566,0.0148905557165,0
Game,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Chartered IT Professional,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Internetworking,0.69,0.0261262962184,25,3,5,0.0377358490566,0.00943720889124,0
IBM Master Inventor,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Request–response,0.638888888889,0.0174738841406,9,3,5,0.0188679245283,0.00630850958384,0
WebSocket,1.0,0.00961538461538,1,3,3,0.00943396226415,0.00320122986498,0
Software engineering,0.75,0.0151497165386,8,3,5,0.0283018867925,0.00734079281542,0
Wireless sensor network,1.0,0.00769230769231,1,3,3,0.00943396226415,0.00313612331893,0
Middleware,0.941176470588,0.0616672422228,17,3,5,0.0283018867925,0.0123568951467,0
Engineering and Physical Sciences Research Council,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Communications protocol,0.821808510638,0.120201591321,94,3,5,0.141509433962,0.0403031357803,1
Extensibility,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Hypertext Transfer Protocol,0.875,0.0277837132004,12,3,5,0.0471698113208,0.00777444120819,0
Contact list,0.791666666667,0.00471516787306,6,3,5,0.0188679245283,0.00644911570203,0
Multicast,0.791666666667,0.00891097206887,6,3,5,0.0188679245283,0.00655802452245,0
Java Message Service,0.772727272727,0.0293407723963,11,3,5,0.0283018867925,0.0040684938227,0
Freeware,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
MQTT,-1.0,-1.0,-1,-1,-1,0.0,0.00287569713472,0
Advanced Message Queuing Protocol,1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Web Application Messaging Protocol,1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Internet of things,1.0,0.0977272727273,4,3,3,0.0471698113208,0.00724367639349,0
Specification (technical standard),1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
ZigBee,1.0,0.0769230769231,1,2,2,0.0188679245283,0.00397426246118,0
Software architecture,0.928571428571,0.0303537511871,14,3,5,0.0377358490566,0.00662578218682,0
Transport layer,0.666666666667,0.0111711095922,15,3,5,0.0283018867925,0.00662456429743,0
United States Department of Defense,0.722222222222,0.0118020137757,9,3,5,0.0283018867925,0.0130869279204,0
OASIS (organization),1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Machine to machine,1.0,0.0239801864802,5,3,4,0.0188679245283,0.00416236445738,0
Internet Protocol,0.666666666667,0.028499642901,36,3,5,0.0849056603774,0.0174697586726,1
OSI model,0.73,0.0155402857377,25,3,5,0.0471698113208,0.0131098814481,0
Pattern,0.916666666667,0.00892687559354,6,3,5,0.00943396226415,0.00339981498587,0
Network topology,0.567708333333,0.0290600786478,24,3,5,0.0283018867925,0.0191789841411,0
XML,1.0,0.00766317016317,3,3,4,0.0283018867925,0.00436933849703,0
Internet protocol suite,0.518867924528,0.137318875569,53,2,5,0.103773584906,0.0455122163521,1
Application layer,0.78125,0.0376914897968,16,3,5,0.0566037735849,0.0103704525744,0
Publish–subscribe pattern,0.9,0.111111111111,5,2,3,0.0471698113208,0.00445102784541,0
Inter-process communication,0.75,0.0159267173156,8,3,5,0.0188679245283,0.00623126180143,0
Mesh networking,1.0,0.00923076923077,2,3,4,0.0188679245283,0.00374668319918,0
Enterprise service bus,1.0,0.00961538461538,1,3,3,0.00943396226415,0.00320122986498,0
Link layer,0.444444444444,0.00608743887691,9,3,5,0.0188679245283,0.00593619524705,0
Abstraction layer,0.6875,0.0138605254395,20,3,5,0.0283018867925,0.0117430626999,0
Message queue,0.6,0.0885565052232,5,2,4,0.0283018867925,0.00630842545304,0
Digital radio,1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Component-based software engineering,0.708333333333,0.0534979423868,12,3,5,0.0283018867925,0.0112435698622,0
Internet Assigned Numbers Authority,1.0,0.00961538461538,1,3,3,0.00943396226415,0.00320122986498,0
IBM,1.0,0.025641025641,3,3,4,0.0283018867925,0.00854585412945,0
XMPP,1.0,0.0769230769231,1,2,2,0.0188679245283,0.00392147127564,0
British Computer Society,1.0,0.017094017094,2,3,4,0.0188679245283,0.00585545684553,0
Telemetry,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Symmetric-key algorithm,1.0,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Internet Engineering Task Force,0.825,0.0684297306008,60,3,5,0.0849056603774,0.0283569305589,1
Conceptual model,0.714285714286,0.0102741556689,14,3,5,0.0188679245283,0.0104837370905,0
Real-time computing,0.96875,0.0585616852284,16,3,5,0.0283018867925,0.0126508942351,0
Voice over IP,0.52,0.0126929722324,25,3,5,0.0377358490566,0.0140247308163,0
XMPP Standards Foundation,0.5,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Telecommunication,0.824324324324,0.0532637180883,37,3,5,0.0471698113208,0.0336386547844,1
DARPA,0.666666666667,0.0138263052737,9,3,5,0.0188679245283,0.01603380706,0
User Datagram Protocol,0.729166666667,0.0211593799313,18,3,5,0.0471698113208,0.0065708590152,0
Scalability,0.9,0.0123456790123,5,3,4,0.00943396226415,0.00329609102371,0
Transmission Control Protocol,0.508333333333,0.0182136905492,30,3,5,0.0566037735849,0.0107191239159,1
Message broker,1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Group communication system,0.3,0.0073797087686,5,3,5,0.00943396226415,0.00332256720346,0
Smart grid,1.0,0.0197843822844,5,3,4,0.0188679245283,0.00405345563696,0
IBM Academy of Technology,1.0,0.00854700854701,1,3,3,0.00943396226415,0.00316505956161,0
Constrained Application Protocol,1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Messaging pattern,0.857142857143,0.0916726020893,7,2,5,0.0283018867925,0.00616549502723,0
Channel (communications),0.776785714286,0.0700023826888,28,3,5,0.0471698113208,0.0403155582664,0
Wire protocol,1.0,0.00961538461538,1,3,3,0.00943396226415,0.00320122986498,0
Open system (computing),1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Wi-Fi,0.85,0.00966548071811,5,3,5,0.0188679245283,0.00718690445113,0
Architectural pattern,0.916666666667,0.00892687559354,6,3,5,0.00943396226415,0.00339981498587,0
Commercial software,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Andy Stanford-Clark,1.0,0.0769230769231,1,2,2,0.00943396226415,0.00306372988927,0
Microservices,1.0,0.00961538461538,1,3,3,0.00943396226415,0.00320122986498,0
Social networking service,0.818181818182,0.0145823109639,22,3,5,0.0283018867925,0.0152265253835,0
Internet layer,0.5,0.00662504162504,9,3,5,0.0188679245283,0.00602651736184,0
End-to-end principle,0.714285714286,0.00497002997003,7,3,5,0.00943396226415,0.00491171473494,0
File transfer,0.692307692308,0.00684348546191,13,3,5,0.0283018867925,0.00796769539824,0
IEEE 802.15.4,0.5,0.00769230769231,1,3,3,0.00943396226415,0.0032135231719,0
Technical standard,0.867647058824,0.0431406556407,34,3,5,0.0377358490566,0.0192522885237,1
Working group,1.0,0.0034965034965,1,3,3,0.00943396226415,0.00302721449851,0
Message passing,0.8125,0.0286522633745,16,3,5,0.0283018867925,0.00426707894359,0
